AT,V,AP,RH,PE
14.12,41.39,1018.73,76.51,472.88
20.1,58.95,1018.46,80.87,446.7
30.53,65.18,1012.69,41.85,437.89
12.24,44.92,1023.74,88.21,473.26
31.16,64.96,1001.71,44.85,425.82
21.95,68.63,1012.8,61.55,448.9
22.54,51.95,1007.29,79.28,447.29
16.48,41.35,1005.61,89.07,465.64
30.12,74.16,1013.13,63.56,433.08
6.57,42.07,1004.48,74.82,483.86
15.91,38.62,1016.2,63.63,462.25
10.4,42.44,1014.24,93.48,480.04
20.45,58.96,1014.53,65.36,454.26
6.29,40.78,1024.75,96.37,478.29
23.56,49.16,1003.31,66.98,445.36
8.74,40.03,1016.81,93.37,481.07
11.55,40.6,1014.44,87.06,475.14
34.18,67.9,1005.87,30.34,425.5
18.87,52.05,1012.02,53.46,458.64
27.37,65.06,1013.09,50.92,440.5
22.18,59.8,1016.77,73.16,453.24
9.57,39.82,1013.12,89.15,468.02
5.37,38.68,1017.76,76.48,487.07
23.67,72.24,1011.22,90.45,435.94
25.89,48.41,1008.49,68.58,440.92
28.5,74.87,1009.67,53.78,444.88
7.21,42.03,1017.81,90.12,482.26
7.31,42.18,1014.75,86.75,477.38
23.82,44.89,1009.39,74.69,445.45
28.62,70.94,1007.38,53.0,432.71
20.9,67.07,1005.43,82.85,443.46
29.22,60.23,1009.73,61.5,436.32
24.39,63.21,1012.59,80.88,446.4
24.5,60.77,1017.15,73.66,439.91
21.11,58.49,1011.6,80.44,449.16
12.5,45.51,1015.8,82.82,469.69
8.86,36.71,1025.64,79.65,478.88
23.1,60.08,1017.69,65.44,451.01
13.78,40.0,1018.38,68.67,458.74
13.78,40.1,1014.49,81.86,445.98
15.04,38.01,1022.46,78.29,468.12
22.53,58.62,1016.28,72.78,449.02
24.93,73.5,1011.28,83.09,437.35
10.77,41.54,1019.94,71.13,477.81
28.93,74.78,1009.48,56.4,437.34
15.5,44.92,1024.16,86.44,462.12
27.52,74.67,1015.77,72.01,433.56
24.87,60.37,1005.48,76.21,436.41
15.68,43.7,1015.09,58.96,470.29
13.96,39.54,1011.05,85.72,468.82
25.66,61.08,1013.0,71.21,446.05
17.51,44.9,1009.05,74.91,455.01
15.07,50.88,1014.33,100.12,464.37
22.1,71.29,1008.2,75.38,442.35
27.31,65.12,1016.05,45.98,440.06
14.4,40.2,1013.04,90.5,464.5
26.28,73.06,1008.06,90.7,437.01
10.47,44.21,1017.87,85.34,476.02
22.69,65.12,1016.35,72.02,446.91
23.87,63.94,1019.02,44.28,445.11
12.66,41.2,1015.88,89.12,466.49
24.38,60.84,1017.85,62.23,440.85
32.56,68.14,1004.02,35.04,425.11
14.38,40.1,1015.51,81.23,467.28
29.6,71.94,1007.07,62.65,429.02
18.84,61.27,1019.64,71.95,454.47
18.72,60.07,1015.81,70.55,454.35
5.79,38.68,1017.19,70.46,487.4
19.08,46.93,1010.6,75.21,454.45
16.56,42.99,1007.48,74.45,464.62
10.12,39.96,1025.98,98.63,471.6
32.0,71.85,1008.44,53.59,427.95
18.44,39.72,1001.14,66.83,460.44
24.78,68.94,1007.29,70.56,435.93
10.09,41.01,1019.89,96.55,471.15
